2003_CAS_code,Name,2006,2007,2008,2009,2010,2011,2012,2013,2014
00BBGE,Canning Town South,440,423,336,394,504,593,649,643,458
00BBGF,Custom House,391,374,302,398,506,463,556,495,356
00BBGG,East Ham Central,326,318,254,306,345,414,467,409,298
00BBGH,East Ham North,307,328,241,273,354,353,393,395,265
00BBGJ,East Ham South,389,364,304,353,462,460,559,526,353
00BBGK,Forest Gate North,397,383,361,418,541,605,588,584,422
00BBGL,Forest Gate South,542,501,490,566,708,646,733,663,529
00BBGM,Green Street East,406,359,293,364,445,512,524,518,373
00BBGN,Green Street West,371,364,345,340,440,470,506,471,346
00BBGP,Little Ilford,455,499,407,457,570,584,702,683,535
00BBGQ,Manor Park,371,406,369,412,481,548,561,535,408
00BBGR,Plaistow North,408,440,370,499,588,650,687,647,505
00BBGS,Plaistow South,370,384,343,397,549,575,642,642,517
00BBGT,Royal Docks,211,251,168,254,322,339,378,367,274
00BBGU,Stratford and New Town,582,522,445,525,768,674,709,657,503
00BBGW,Wall End,357,377,286,340,436,431,485,456,319
00BBGX,West Ham,418,428,404,432,572,569,627,563,436
00BEGC,Brunswick Park,454,422,364,438,526,594,622,557,438
00BEGD,Camberwell Green,578,533,444,516,645,677,759,679,573
00BEGE,Cathedrals,498,439,313,398,521,544,519,492,421
00BEGF,Chaucer,376,334,294,332,416,433,504,534,417
00BEGG,College,256,233,196,218,318,322,351,324,246
00BEGH,East Dulwich,264,228,171,192,285,290,320,296,184
00BEGJ,East Walworth,515,469,387,380,442,429,465,466,403
00BEGK,Faraday,542,483,437,503,604,614,655,623,442
00BEGL,Grange,420,437,286,378,515,510,601,555,465
00BEGM,Livesey,551,489,446,473,661,666,784,747,515
00BEGN,Newington,515,442,377,449,530,596,627,561,481
00BEGP,Nunhead,516,442,394,454,612,581,650,673,500
00BEGQ,Peckham,542,478,435,493,677,701,778,750,625
00BEGR,Peckham Rye,343,314,240,296,393,426,435,419,306
00BEGS,Riverside,355,317,239,291,398,384,430,391,336
00BEGT,Rotherhithe,390,349,253,273,402,401,469,492,376
00BEGU,South Bermondsey,416,348,291,336,527,523,592,585,451
00BEGW,South Camberwell,340,305,229,271,367,390,425,403,318
00BEGX,Surrey Docks,264,230,157,225,315,294,297,300,231
00BEGY,The Lane,540,482,347,410,557,630,653,659,453
00BEGZ,Village,131,141,93,121,186,159,168,172,133
00BGFW,Bethnal Green North,458,468,366,461,601,613,729,646,463
00BGFX,Bethnal Green South,538,541,484,569,661,642,684,650,491
00BGFY,Blackwall and Cubitt Town,381,408,386,453,592,582,612,635,463
00BGFZ,Bow East,374,415,338,430,602,587,620,628,423
00BGGA,Bow West,437,430,400,416,533,507,497,481,354
00BGGB,Bromley-by-Bow,571,614,541,583,742,705,823,814,528
00BGGC,East India and Lansbury,612,644,653,707,819,819,891,872,657
00BGGD,Limehouse,490,551,494,534,639,647,743,717,509
00BGGE,Mile End and Globe Town,413,374,365,450,521,501,584,530,397
00BGGF,Mile End East,547,561,514,551,680,664,756,725,522
00BGGG,Millwall,332,411,348,443,525,578,671,674,437
00BGGH,St Dunstan's and Stepney Green,581,649,583,584,682,712,723,717,529
00BGGJ,St Katharine's and Wapping,321,329,290,338,360,324,345,314,257
00BGGK,Shadwell,478,497,469,534,621,565,630,564,420
00BGGL,Spitalfields and Banglatown,467,493,487,537,591,614,618,553,404
00BGGM,Weavers,526,520,413,496,580,537,641,592,453
00BGGN,Whitechapel,472,471,456,535,590,573,589,554,392
00BJFZ,Balham,232,197,137,195,255,209,216,167,146
00BJGA,Bedford,308,256,192,264,361,296,290,283,217
00BJGB,Earlsfield,256,244,189,236,309,306,272,276,203
00BJGC,East Putney,169,122,114,150,197,180,203,192,147
00BJGD,Fairfield,247,237,174,258,359,275,263,288,209
00BJGE,Furzedown,333,308,250,349,461,457,510,480,366
00BJGF,Graveney,321,269,230,315,409,412,440,420,364
00BJGG,Latchmere,458,442,388,411,558,538,600,568,448
00BJGH,Nightingale,227,219,163,161,261,231,273,246,172
00BJGJ,Northcote,175,153,109,162,235,198,220,191,148
00BJGK,Queenstown,433,362,280,351,491,455,517,516,371
00BJGL,Roehampton,341,292,246,281,439,406,424,426,370
00BJGM,St Mary's Park,318,282,210,282,376,344,397,355,277
00BJGN,Shaftesbury,250,225,144,210,293,271,301,274,213
00BJGP,Southfields,194,190,143,192,293,284,245,257,216
00BJGQ,Thamesfield,133,100,75,118,182,133,134,107,87
00BJGR,Tooting,346,310,254,312,462,404,484,429,365
00BJGS,Wandsworth Common,160,162,129,144,203,195,176,165,145
00BJGT,West Hill,304,247,188,253,376,337,368,397,297
00BJGU,West Putney,202,176,139,198,290,261,275,271,236
00BKGA,Abbey Road,55,58,43,79,117,131,109,96,89
00BKGB,Bayswater,155,138,116,170,213,211,237,178,130
00BKGC,Bryanston and Dorset Square,153,114,99,128,221,211,228,182,138
00BKGD,Churchill,264,197,194,221,331,316,344,341,260
00BKGE,Church Street,386,411,365,368,519,481,505,464,329
00BKGF,Harrow Road,350,338,317,379,541,510,499,439,333
00BKGG,Hyde Park,133,140,111,143,247,229,213,158,108
00BKGH,Knightsbridge and Belgravia,20,22,19,20,31,25,23,18,12
00BKGJ,Lancaster Gate,219,186,152,183,300,289,282,221,183
00BKGK,Little Venice,170,127,97,131,192,196,183,158,104
00BKGL,Maida Vale,163,183,145,196,262,224,258,228,150
00BKGM,Marylebone High Street,81,57,51,74,98,84,83,87,60
00BKGN,Queen's Park,413,411,336,403,606,519,525,516,360
00BKGP,Regent's Park,111,100,79,96,142,139,129,104,106
00BKGQ,St James's,412,366,340,350,375,337,372,345,288
00BKGR,Tachbrook,134,129,96,137,173,156,166,155,148
00BKGS,Vincent Square,257,179,179,180,235,231,256,221,203
00BKGT,Warwick,189,142,121,138,176,199,205,209,164
00BKGU,Westbourne,366,368,277,363,462,441,499,410,297
00BKGW,West End,206,139,128,129,154,148,179,148,133
00ABFX,Abbey,269,273,268,308,450,458,517,494,448
00ABFY,Alibon,274,264,224,322,358,372,446,428,286
00ABFZ,Becontree,281,258,231,345,458,433,509,510,381
00ABGA,Chadwell Heath,207,203,183,255,321,314,381,350,254
00ABGB,Eastbrook,209,222,196,267,341,382,465,433,306
00ABGC,Eastbury,238,258,238,298,394,406,501,501,358
00ABGD,Gascoigne,390,376,335,414,495,531,542,557,378
00ABGE,Goresbrook,282,235,228,338,385,417,487,481,322
00ABGF,Heath,300,296,255,337,421,418,480,459,314
00ABGG,Longbridge,98,114,121,169,230,221,280,277,215
00ABGH,Mayesbrook,203,181,175,280,328,364,387,393,273
00ABGJ,Parsloes,219,198,159,239,338,321,373,339,241
00ABGK,River,283,235,220,307,383,400,443,383,266
00ABGL,Thames,295,262,255,309,410,408,449,437,343
00ABGM,Valence,193,209,169,269,334,364,386,361,264
00ABGN,Village,321,309,260,357,484,479,529,500,324
00ABGP,Whalebone,165,171,152,210,293,288,325,330,224
00ACFX,Brunswick Park,200,226,153,254,301,301,302,257,216
00ACFY,Burnt Oak,472,416,255,382,552,498,514,481,347
00ACFZ,Childs Hill,314,319,222,235,394,396,469,484,406
00ACGA,Colindale,405,361,263,343,431,378,409,422,362
00ACGB,Coppetts,315,290,210,305,418,385,430,384,304
00ACGC,East Barnet,225,222,186,297,375,359,362,356,237
00ACGD,East Finchley,318,249,202,277,342,302,310,311,226
00ACGE,Edgware,259,263,192,223,306,252,326,259,176
00ACGF,Finchley Church End,229,181,149,186,276,254,273,233,189
00ACGG,Garden Suburb,111,86,70,116,135,115,147,150,136
00ACGH,Golders Green,215,186,154,218,319,297,345,339,293
00ACGJ,Hale,249,248,176,253,363,309,306,299,227
00ACGK,Hendon,232,193,181,232,348,290,337,307,261
00ACGL,High Barnet,159,146,133,186,267,225,232,225,164
00ACGM,Mill Hill,243,207,140,231,323,292,329,283,186
00ACGN,Oakleigh,171,186,128,220,301,286,297,237,201
00ACGP,Totteridge,154,139,118,169,207,193,186,183,153
00ACGQ,Underhill,288,257,195,300,383,387,423,399,285
00ACGR,West Finchley,285,232,159,241,293,271,290,251,215
00ACGS,West Hendon,312,277,226,283,397,337,366,355,294
00ACGT,Woodhouse,355,310,227,296,383,344,396,360,285
00ADGA,Barnehurst,109,105,76,156,171,169,173,149,106
00ADGB,Belvedere,244,185,130,219,317,315,338,329,228
00ADGC,Blackfen and Lamorbey,64,86,68,154,168,120,115,129,76
00ADGD,Blendon and Penhill,73,80,47,120,157,102,112,110,85
00ADGE,Brampton,81,96,54,108,132,117,129,110,76
00ADGF,Christchurch,104,102,102,144,203,148,196,204,126
00ADGG,Colyers,246,235,185,242,329,304,327,277,206
00ADGH,Crayford,150,150,105,221,284,266,274,253,208
00ADGJ,Cray Meadows,128,117,77,192,232,218,245,197,134
00ADGK,Danson Park,115,102,90,185,198,151,202,168,129
00ADGL,East Wickham,131,146,102,190,210,176,215,211,134
00ADGM,Erith,254,238,168,260,349,341,363,325,249
00ADGN,Falconwood and Welling,98,95,75,136,185,156,168,143,109
00ADGP,Lesnes Abbey,223,192,134,229,260,240,242,248,213
00ADGQ,Longlands,66,61,51,106,142,124,125,118,83
00ADGR,North End,333,232,184,304,419,428,447,440,305
00ADGS,Northumberland Heath,131,122,90,139,205,161,221,211,137
00ADGT,St Mary's,62,71,56,117,119,110,111,112,71
00ADGU,St Michael's,100,97,78,169,205,161,190,163,148
00ADGW,Sidcup,86,93,67,98,138,108,119,125,78
00ADGX,Thamesmead East,301,327,244,346,421,422,510,458,323
00AEGJ,Alperton,255,222,174,190,277,265,257,290,223
00AEGK,Barnhill,297,281,212,277,366,367,375,391,314
00AEGL,Brondesbury Park,254,276,201,259,324,303,337,356,265
00AEGM,Dollis Hill,308,286,213,264,380,354,422,406,296
00AEGN,Dudden Hill,394,413,310,374,538,533,598,555,450
00AEGP,Fryent,224,199,165,230,296,256,283,228,186
00AEGQ,Harlesden,718,779,684,687,951,961,"1,075","1,118",915
00AEGR,Kensal Green,516,518,454,507,661,640,688,699,564
00AEGS,Kenton,109,99,74,127,178,157,153,145,114
00AEGT,Kilburn,697,717,584,672,800,846,910,886,595
00AEGU,Mapesbury,382,374,332,377,541,504,538,553,456
00AEGW,Northwick Park,182,143,100,158,200,183,172,192,173
00AEGX,Preston,214,226,173,226,276,282,277,335,253
00AEGY,Queens Park,365,338,275,340,449,415,440,432,340
00AEGZ,Queensbury,227,204,163,261,304,277,280,235,177
00AEHA,Stonebridge,802,784,632,718,868,837,933,916,731
00AEHB,Sudbury,295,263,174,207,325,294,289,302,302
00AEHC,Tokyngton,287,277,203,244,310,283,324,327,308
00AEHD,Welsh Harp,299,309,243,294,403,369,426,385,303
00AEHE,Wembley Central,273,290,186,224,347,293,313,339,276
00AEHF,Willesden Green,475,478,397,384,580,617,672,692,552
00AFGD,Bickley,107,93,78,147,194,149,181,143,123
00AFGE,Biggin Hill,83,61,56,106,162,130,153,134,92
00AFGF,Bromley Common and Keston,213,188,142,235,301,253,312,276,171
00AFGG,Bromley Town,246,218,162,261,301,294,327,288,246
00AFGH,Chelsfield and Pratts Bottom,115,89,81,144,175,117,167,123,89
00AFGJ,Chislehurst,124,99,70,134,170,168,190,166,110
00AFGK,Clock House,241,196,191,261,345,290,341,291,234
00AFGL,Copers Cope,180,141,134,230,270,256,297,282,197
00AFGM,Cray Valley East,312,264,233,375,460,396,486,438,307
00AFGN,Cray Valley West,327,311,246,354,444,415,478,477,328
00AFGP,Crystal Palace,384,349,301,361,482,441,525,488,366
00AFGQ,Darwin,30,17,13,40,52,49,49,38,26
00AFGR,Farnborough and Crofton,116,74,63,130,155,140,158,150,91
00AFGS,Hayes and Coney Hall,108,87,78,160,234,168,178,169,138
00AFGT,Kelsey and Eden Park,133,108,71,174,239,197,229,209,141
00AFGU,Mottingham and Chislehurst North,177,174,150,234,301,281,337,329,266
00AFGW,Orpington,201,203,165,273,307,288,329,288,205
00AFGX,Penge and Cator,479,385,309,481,582,567,652,599,468
00AFGY,Petts Wood and Knoll,111,81,70,130,140,106,132,125,88
00AFGZ,Plaistow and Sundridge,224,216,194,276,361,341,398,364,267
00AFHA,Shortlands,86,63,47,102,102,100,91,90,61
00AFHB,West Wickham,102,81,65,136,151,138,146,122,94
00AHGE,Addiscombe,301,254,241,310,432,427,501,457,333
00AHGF,Ashburton,217,216,170,251,361,333,386,319,251
00AHGG,Bensham Manor,392,391,296,417,570,562,694,576,454
00AHGH,Broad Green,399,368,298,393,517,566,625,654,451
00AHGJ,Coulsdon East,119,78,89,149,198,161,189,155,105
00AHGK,Coulsdon West,113,99,81,151,200,184,199,177,118
00AHGL,Croham,200,156,138,252,344,335,386,364,227
00AHGM,Fairfield,329,345,252,323,400,418,465,426,329
00AHGN,Fieldway,304,236,206,287,402,398,452,445,344
00AHGP,Heathfield,160,118,121,197,245,233,260,239,161
00AHGQ,Kenley,160,133,117,185,283,254,271,271,170
00AHGR,New Addington,203,187,168,243,351,315,351,328,225
00AHGS,Norbury,291,270,232,268,412,381,438,419,287
00AHGT,Purley,141,109,99,190,269,276,300,262,177
00AHGU,Sanderstead,71,67,66,130,156,148,143,154,78
00AHGW,Selhurst,498,457,392,502,674,719,843,708,549
00AHGX,Selsdon and Ballards,78,51,43,111,134,115,138,115,85
00AHGY,Shirley,144,138,121,198,290,275,302,300,205
00AHGZ,South Norwood,484,464,371,435,674,663,769,712,548
00AHHA,Thornton Heath,426,481,375,455,704,681,828,699,565
00AHHB,Upper Norwood,410,373,297,357,448,508,546,495,366
00AHHC,Waddon,282,274,221,300,437,434,493,498,352
00AHHD,West Thornton,408,405,330,397,527,552,620,546,436
00AHHE,Woodside,349,350,287,406,606,618,741,667,481
00AJGC,Acton Central,311,319,264,357,461,454,485,476,429
00AJGD,Cleveland,260,273,234,297,424,373,375,397,336
00AJGE,Dormers Wells,373,323,250,337,485,413,474,437,341
00AJGF,Ealing Broadway,161,176,141,190,312,265,277,274,252
00AJGG,Ealing Common,250,273,222,284,387,328,350,323,240
00AJGH,East Acton,332,342,291,351,548,510,623,598,485
00AJGJ,Elthorne,269,294,226,287,440,396,424,403,382
00AJGK,Greenford Broadway,296,320,244,363,564,486,527,519,405
00AJGL,Greenford Green,165,202,135,246,342,290,296,256,215
00AJGM,Hanger Hill,152,138,122,166,229,213,230,233,184
00AJGN,Hobbayne,221,236,201,301,400,333,346,372,299
00AJGP,Lady Margaret,267,231,198,293,392,332,377,328,277
00AJGQ,Northfield,128,117,99,128,194,164,171,170,132
00AJGR,North Greenford,177,175,141,207,317,249,277,232,194
00AJGS,Northolt Mandeville,259,265,206,321,498,392,443,445,365
00AJGT,Northolt West End,382,376,284,398,548,502,511,528,469
00AJGU,Norwood Green,301,309,254,383,510,454,509,460,366
00AJGW,Perivale,234,215,186,250,381,302,329,286,262
00AJGX,South Acton,381,382,298,368,469,453,529,537,418
00AJGY,Southall Broadway,383,358,290,381,474,445,486,431,330
00AJGZ,Southall Green,411,401,328,424,627,513,597,505,437
00AJHA,Southfield,152,161,146,186,301,232,239,207,175
00AJHB,Walpole,154,166,121,172,253,239,273,263,202
00AKGL,Bowes,345,330,253,332,426,408,434,416,340
00AKGM,Bush Hill Park,157,179,118,185,267,267,266,263,213
00AKGN,Chase,208,202,185,277,370,390,460,443,322
00AKGP,Cockfosters,163,136,125,185,239,206,235,228,155
00AKGQ,Edmonton Green,620,611,555,580,809,836,919,905,724
00AKGR,Enfield Highway,382,370,317,433,540,632,689,685,506
00AKGS,Enfield Lock,363,369,305,461,587,623,758,665,517
00AKGT,Grange,129,121,74,140,212,187,223,189,130
00AKGU,Haselbury,484,479,382,434,564,577,661,672,527
00AKGW,Highlands,147,157,124,163,245,229,219,187,142
00AKGX,Jubilee,371,367,320,343,497,503,557,536,415
00AKGY,Lower Edmonton,499,519,412,429,656,688,736,781,551
00AKGZ,Palmers Green,373,316,245,331,443,383,423,365,301
00AKHA,Ponders End,505,489,397,518,662,704,819,777,579
00AKHB,Southbury,284,294,236,324,472,512,584,556,403
00AKHC,Southgate,192,192,154,213,288,267,319,288,220
00AKHD,Southgate Green,250,239,189,292,369,317,298,316,198
00AKHE,Town,161,135,122,215,297,266,317,267,185
00AKHF,Turkey Street,300,323,274,366,493,510,589,589,459
00AKHG,Upper Edmonton,550,553,463,478,682,629,780,768,626
00AKHH,Winchmore Hill,180,160,117,226,253,220,265,250,191
00ALGP,Abbey Wood,399,349,290,392,497,457,581,574,420
00ALGQ,Blackheath Westcombe,191,164,130,177,226,197,231,208,170
00ALGR,Charlton,328,277,224,333,417,408,458,413,335
00ALGS,Coldharbour and New Eltham,216,209,152,265,321,314,270,255,217
00ALGT,Eltham North,177,156,117,191,227,246,240,212,177
00ALGU,Eltham South,180,193,141,225,269,253,284,279,214
00ALGW,Eltham West,421,387,270,352,383,359,389,371,277
00ALGX,Glyndon,588,540,419,553,664,663,755,696,543
00ALGY,Greenwich West,376,309,256,318,371,368,452,434,344
00ALGZ,Kidbrooke with Hornfair,264,254,202,305,377,386,438,403,300
00ALHA,Middle Park and Sutcliffe,297,279,229,327,387,392,421,446,359
00ALHB,Peninsula,266,215,175,253,310,293,357,352,272
00ALHC,Plumstead,436,382,294,412,561,550,633,624,459
00ALHD,Shooters Hill,242,220,184,273,378,377,391,358,239
00ALHE,Thamesmead Moorings,437,415,340,453,607,602,757,713,508
00ALHF,Woolwich Common,642,604,470,637,709,729,773,787,568
00ALHG,Woolwich Riverside,592,590,466,622,734,707,799,799,598
00AQFY,Belmont,106,96,68,117,168,122,132,131,106
00AQFZ,Canons,116,124,83,106,173,179,154,162,132
00AQGA,Edgware,221,198,108,187,281,221,226,191,124
00AQGB,Greenhill,235,206,164,223,327,292,345,282,210
00AQGC,Harrow on the Hill,134,111,104,170,206,182,213,187,153
00AQGD,Harrow Weald,132,140,111,170,244,206,231,211,153
00AQGE,Hatch End,87,75,53,102,146,117,109,105,92
00AQGF,Headstone North,84,80,68,98,154,123,126,126,86
00AQGG,Headstone South,139,147,120,160,215,173,209,170,131
00AQGH,Kenton East,141,151,103,159,228,185,168,159,128
00AQGJ,Kenton West,143,134,99,133,199,150,144,143,107
